AREAKEY,TRCTPOP9,MDFAMY9,MDVALHS9,TRCTPOP0,MDFAMY0,MDVALHS0,TRCTPOP1,MDFAMY1A,MDVALHS1A
36047001100,73,0,0,109,28988,0,84,73269,0
36047001300,1662,66491,0,2546,101761,0,2275,133426,366500
36047001500,2079,12106,0,2515,16755,155774,3521,51125,569300
36047001800,12,208,80894,1463,33718,196558,2105,0,0
36047002000,1343,17760,162500,1559,24432,337500,1672,31791,504100
36047002100,431,45208,0,1137,106530,0,3604,172973,910500
36047002200,3523,28507,233300,4240,33924,225000,4613,47361,413300
36047002300,5197,15446,225000,4522,11275,0,4247,20476,108500
36047002901,4636,17024,0,4314,12589,0,3218,10558,0
36047003000,1492,46323,245800,2009,60040,294600,1730,72500,567800
36047003100,3300,41576,87442,2756,47888,0,2472,70938,354300
36047003300,1798,35104,259600,2438,39671,455000,2327,113056,888900
36047003400,2598,49375,239300,2889,57361,242800,3047,97518,611600
36047003500,1610,51763,0,1470,73977,0,1554,64957,1000001
36047003600,3489,45489,235000,3940,50690,271700,3804,68854,298900
36047003700,271,33036,0,384,27955,0,390,37056,0
36047003800,1448,48281,333300,1599,78745,407700,1498,100991,651900
36047003900,2267,26274,375000,2100,45179,556800,2229,119625,768400
36047004100,3221,65191,368800,3317,88487,590200,3598,180613,1000001
36047004300,2959,35588,500001,2918,78005,697400,3008,166125,749000
36047004400,2349,80694,357074,2548,107001,436032,2359,125242,845200
36047004500,3312,86492,500001,3464,130840,1000001,3325,151993,993200
36047004600,1126,64908,419300,1279,80699,473200,1199,115694,1000001
36047004700,755,46758,0,1214,72545,48032,1445,114583,702800
36047004900,2397,56931,254200,2575,87855,387500,2516,126146,1000001
36047005000,2250,54454,341300,2345,91523,387700,2276,93250,835200
36047005100,1729,35179,118300,2167,61806,600000,2171,80240,509400
36047005201,1902,48750,296000,1777,103385,428400,1829,74643,701300
36047005202,2603,49968,385500,2451,64792,368300,2481,74946,361600
36047005300,1753,33062,111823,1780,33774,132781,1888,56273,458800
36047005400,3093,42333,260900,3253,56571,314700,3139,77045,504800
36047005601,2423,45972,270100,2549,61696,320000,2505,71316,264500
36047005602,1448,50830,225000,1498,41484,286300,1586,60682,309700
36047005800,2953,38879,209300,3308,48625,266800,3152,66136,633900
36047005900,1160,20517,128399,1064,21189,87500,1384,55864,496400
36047006000,2641,40741,253400,2934,50118,260300,2826,95972,576900
36047006200,2539,37644,345000,3062,39902,417900,2853,85875,706100
36047006300,1736,39063,42500,1752,66058,450000,1892,99479,617200
36047006400,3141,37045,270700,3553,60161,351300,3478,56131,811200
36047006500,5093,46612,99231,5145,77714,595667,5191,102500,991600
36047006600,3440,38804,183300,3631,44338,410700,3663,51653,575900
36047006700,3328,56702,500001,3500,100854,909100,3301,133333,1000001
36047006800,4207,37115,218400,4836,41513,250000,4870,43375,635200
36047006900,2972,37339,234400,3285,60526,482100,3537,113682,952400
36047007000,2363,35655,190000,2439,46842,246400,2344,71989,606300
36047007100,5204,16638,304500,4561,22904,319200,4495,38632,941200
36047007200,1664,25351,16718,2016,36434,272484,1946,37167,0
36047007400,4897,27437,201300,5330,35651,203300,5451,31225,611600
36047007500,3784,38488,330400,4359,75243,505300,4383,110696,1000001
36047007600,3694,22039,228600,4440,35637,227900,4412,42976,650000
36047007700,3532,35613,159600,4000,58333,415800,3901,120481,861400
36047007800,4948,24570,211800,5018,30192,194100,5068,39712,576300
36047008000,3657,31205,181300,4360,28052,174400,4169,26763,596100
